,Date,Distance,Calories,Avg HR,Avg Run Cadence,Avg Pace,Best Pace,Avg Stride Length,Elapsed Time,Avg Speed,Best Speed,Count,isInjured
429,2020-10-07 08:11:00,7.0,689.0,154.0,158,8.083333333333334,6.233333333333333,1.26,59.46666666666667,7.422680412371133,9.62566844919786,1,0
428,2020-10-08 07:54:00,5.25,494.0,157.0,159,7.8,6.383333333333334,1.3,41.416666666666664,7.6923076923076925,9.39947780678851,1,0
426,2020-10-09 07:26:00,2.02,199.0,151.0,156,8.4,7.083333333333333,1.23,17.2,7.142857142857142,8.470588235294118,1,0
425,2020-10-09 07:57:00,5.88,512.0,169.0,164,6.616666666666667,5.266666666666667,1.48,38.9,9.06801007556675,11.39240506329114,1,0
424,2020-10-09 08:40:00,2.03,187.0,148.0,158,7.916666666666667,7.133333333333334,1.29,20.1,7.578947368421052,8.411214953271028,1,0
422,2020-10-12 07:42:00,6.02,532.0,153.0,153,8.083333333333334,3.6666666666666665,1.31,62.68333333333333,7.422680412371133,16.363636363636363,1,0
421,2020-10-13 07:16:00,2.66,230.0,143.0,157,8.216666666666667,5.966666666666667,1.25,38.483333333333334,7.302231237322515,10.05586592178771,1,0
420,2020-10-13 08:08:00,4.34,380.0,166.0,145,6.933333333333334,5.233333333333333,1.58,35.13333333333333,8.653846153846153,11.464968152866241,1,0
419,2020-10-13 08:49:00,1.98,185.0,147.0,154,8.45,6.783333333333333,1.24,25.4,7.100591715976332,8.845208845208845,1,0
418,2020-10-14 08:38:00,7.61,667.0,147.0,159,8.6,6.7,1.18,66.36666666666666,6.976744186046512,8.955223880597014,1,0
417,2020-10-15 07:46:00,5.18,446.0,151.0,159,7.716666666666667,4.116666666666666,1.31,45.96666666666667,7.775377969762419,14.574898785425102,1,0
416,2020-10-15 16:23:00,2.01,174.0,152.0,162,7.333333333333333,6.833333333333333,1.35,14.716666666666667,8.181818181818182,8.78048780487805,1,0
415,2020-10-16 07:15:00,3.04,300.0,155.0,155,8.3,2.4333333333333336,1.24,41.56666666666667,7.228915662650602,24.65753424657534,1,0
414,2020-10-16 08:00:00,3.93,286.0,152.0,167,6.55,4.866666666666667,1.47,39.766666666666666,9.160305343511451,12.32876712328767,1,0
413,2020-10-16 08:46:00,2.06,218.0,157.0,158,8.416666666666666,7.566666666666666,1.21,17.983333333333334,7.128712871287129,7.929515418502203,1,0
412,2020-10-17 13:30:00,2.89,288.0,147.0,155,9.083333333333334,7.366666666666666,1.14,31.183333333333334,6.605504587155963,8.144796380090499,1,0
411,2020-10-18 08:47:00,10.93,923.0,155.0,165,7.466666666666667,6.75,1.31,81.75,8.035714285714285,8.88888888888889,1,0
